% 1. Title: Consent information from Experiment 1
%
% 2. Sources:
%      (a) Creator: Christian Medeiros Adriano
%      (b) Date of Experiment: October 20, 2014
%      (c) Paper draft = https://arxiv.org/abs/1612.03015
%
@RELATION Task

@ATTRIBUTE time_stamp  STRING
@ATTRIBUTE event  {CONSENT,SKILLTEST,SURVEY}
@ATTRIBUTE worker_id  STRING
@ATTRIBUTE consent_date STRING
@ATTRIBUTE test1 {false, true}
@ATTRIBUTE test2 {false, true}
@ATTRIBUTE test3 {false, true}
@ATTRIBUTE test4 {false, true}
@ATTRIBUTE qualification_score NUMERIC
@ATTRIBUTE test_duration NUMERIC
@ATTRIBUTE feedback STRING
@ATTRIBUTE gender {Female,Male,Prefer_not_to_tell}
@ATTRIBUTE years_programming NUMERIC
@ATTRIBUTE difficulty NUMERIC
@ATTRIBUTE country STRING
@ATTRIBUTE age NUMERIC

@DATA
"2014 10 24 09:17:49.450000",CONSENT,160_1,1.414156669045E12,false,false,false,false,0,92942.0,,,,,,
"2014 10 24 09:17:50.414000",CONSENT,161_1,1.414156670414E12,false,true,false,false,1,60794.0,,,,,,
"2014 10 24 09:18:15.650000",CONSENT,162_1,1.41415669565E12,false,false,false,false,0,477242.0,,,,,,
"2014 10 24 09:18:23.615000",CONSENT,163_1,1.414156703615E12,false,true,false,false,1,80612.0,,,,,,
"2014 10 24 09:18:31.931000",CONSENT,164_1,1.414156711931E12,false,true,false,false,1,152990.0,,,,,,
"2014 10 24 09:18:51.938000",CONSENT,165_1,1.414156731938E12,false,true,false,false,1,132896.0,,,,,,
"2014 10 24 09:18:52.244000",CONSENT,166_1,1.414156732244E12,false,false,false,true,1,55679.0,,,,,,
"2014 10 24 09:19:02.315000",CONSENT,167_1,1.414156742315E12,false,true,false,false,1,111139.0,,,,,,
"2014 10 24 09:19:19.891000",CONSENT,168_1,1.414156759891E12,true,true,false,false,2,262434.0,,,,,,
"2014 10 24 09:19:24.275000",CONSENT,169_1,1.414156764275E12,false,true,false,true,2,162151.0,,,,,,
"2014 10 24 09:19:27.305000",CONSENT,170_1,1.414156767305E12,false,false,false,false,0,199433.0,,,,,,
"2014 10 24 09:20:07.388000",CONSENT,171_1,1.414156807388E12,,,,,,,,,,,,
"2014 10 24 09:20:14.186000",CONSENT,172_1,1.414156814186E12,false,false,false,true,1,80044.0,,,,,,
"2014 10 24 09:20:26.481000",CONSENT,173_1,1.414156826481E12,,,,,,,,,,,,
"2014 10 24 09:20:29.917000",CONSENT,174_1,1.414156829916E12,,,,,,,,,,,,
"2014 10 24 09:20:38.282000",CONSENT,175_1,1.414156838282E12,false,false,false,false,0,128073.0,,,,,,
"2014 10 24 09:20:54.868000",CONSENT,176_1,1.414156854868E12,,,,,,,,,,,,
"2014 10 24 09:21:11.381000",CONSENT,177_1,1.414156871381E12,,,,,,,,,,,,
"2014 10 24 09:21:33.568000",CONSENT,178_1,1.414156893568E12,,,,,,,,,,,,
"2014 10 24 09:21:36.593000",CONSENT,179_1,1.414156896593E12,false,false,false,false,0,93358.0,,,,,,
"2014 10 24 09:21:39.308000",CONSENT,180_1,1.414156899308E12,,,,,,,,,,,,
"2014 10 24 09:21:39.476000",CONSENT,181_1,1.414156899476E12,false,true,false,false,1,60586.0,,,,,,
"2014 10 24 09:21:42.401000",CONSENT,182_1,1.414156902401E12,false,false,false,true,1,49197.0,,,,,,
"2014 10 24 09:21:51.339000",CONSENT,183_1,1.414156911339E12,false,false,false,false,0,61682.0,,,,,,
"2014 10 24 09:22:17.769000",CONSENT,184_1,1.414156937769E12,false,true,false,false,1,166675.0,,,,,,
"2014 10 24 09:22:40.106000",CONSENT,185_1,1.414156960106E12,false,false,false,true,1,127796.0,,,,,,
