"","worker_id","years_programming","age","is_student"
"3462","1105_2",NA,NA,NA
"3463","1107_2",NA,NA,NA
"3464","1108_2",NA,NA,NA
"3465","1109_2",NA,NA,NA
"3466","1110_2",NA,NA,NA
"3467","1111_2",NA,NA,NA
"3468","1112_2",NA,NA,NA
"3469","1113_2",NA,NA,NA
"3470","1114_2",NA,NA,NA
"3471","1115_2",NA,NA,NA
"3472","1117_2",NA,NA,NA
"3473","1118_2",NA,NA,NA
"3474","1119_2",NA,NA,NA
"3475","1120_2",1,22,"1"
"3476","1120_2",1,22,"1"
"3477","1120_2",1,22,"1"
"3478","1120_2",1,22,"1"
"3479","1120_2",1,22,"1"
"3480","1121_2",NA,NA,NA
"3481","1122_2",NA,NA,NA
"3482","1123_2",NA,NA,NA
"3483","1124_2",NA,NA,NA
"3484","1126_2",NA,NA,NA
"3485","1129_2",NA,NA,NA
"3486","1131_2",NA,NA,NA
"3487","1132_2",NA,NA,NA
"3488","1133_2",NA,NA,NA
"3489","1134_2",NA,NA,NA
"3490","1135_2",1,21,"1"
"3491","1135_2",1,21,"1"
"3492","1135_2",1,21,"1"
"3493","1135_2",1,21,"1"
"3494","1135_2",1,21,"1"
"3495","1136_2",NA,NA,NA
"3496","1137_2",3,27,"0"
"3497","1137_2",3,27,"0"
"3498","1137_2",3,27,"0"
"3499","1137_2",3,27,"0"
"3500","1137_2",3,27,"0"
"3501","1137_2",3,27,"0"
"3502","1139_2",NA,NA,NA
"3503","1140_2",NA,NA,NA
"3504","1141_2",NA,NA,NA
"3505","1142_2",4,20,"1"
"3506","1145_2",NA,NA,NA
"3507","1146_2",NA,NA,NA
"3508","1147_2",NA,NA,NA
"3509","1148_2",NA,NA,NA
"3510","1149_2",NA,NA,NA
"3511","1150_2",NA,NA,NA
"3512","1152_2",NA,NA,NA
"3513","1154_2",NA,NA,NA
"3514","1155_2",NA,NA,NA
"3515","1156_2",NA,NA,NA
"3516","1157_2",NA,NA,NA
"3517","1158_2",NA,NA,NA
"3518","1160_2",NA,NA,NA
"3519","1161_2",NA,NA,NA
"3520","1163_2",NA,NA,NA
"3521","1164_2",NA,NA,NA
"3522","1165_2",NA,NA,NA
"3523","1166_2",NA,NA,NA
"3524","1167_2",3,27,"0"
"3525","1167_2",3,27,"0"
"3526","1167_2",3,27,"0"
"3527","1167_2",3,27,"0"
"3528","1167_2",3,27,"0"
"3529","1167_2",3,27,"0"
"3530","1168_2",4,28,"0"
"3531","1168_2",4,28,"0"
"3532","1168_2",4,28,"0"
"3533","1169_2",NA,NA,NA
"3534","1170_2",NA,NA,NA
"3535","1171_2",NA,NA,NA
"3536","1172_2",NA,NA,NA
"3537","1173_2",NA,NA,NA
"3538","1174_2",NA,NA,NA
"3539","1177_2",NA,NA,NA
"3540","1178_2",NA,NA,NA
"3541","1181_2",NA,NA,NA
"3542","1182_2",NA,NA,NA
"3543","1183_2",NA,NA,NA
"3544","1184_2",NA,NA,NA
"3545","1185_2",NA,NA,NA
"3546","1186_2",NA,NA,NA
"3547","1187_2",NA,NA,NA
"3548","1188_2",NA,NA,NA
"3549","1189_2",NA,NA,NA
"3550","1191_2",NA,NA,NA
"3551","1192_2",NA,NA,NA
"3552","1193_2",1,29,"0"
"3553","1193_2",1,29,"0"
"3554","1193_2",1,29,"0"
"3555","1193_2",1,29,"0"
"3556","1193_2",1,29,"0"
"3557","1195_2",NA,NA,NA
"3558","1196_2",NA,NA,NA
"3559","1197_2",NA,NA,NA
"3560","1199_2",NA,NA,NA
"3561","1202_2",NA,NA,NA
"3562","1203_2",NA,NA,NA
"3563","1205_2",NA,NA,NA
"3564","1208_2",4,21,"1"
"3565","1208_2",4,21,"1"
"3566","1208_2",4,21,"1"
"3567","1209_2",NA,NA,NA
"3568","1210_2",NA,NA,NA
"3569","1213_2",NA,NA,NA
"3570","1216_2",NA,NA,NA
"3571","1220_2",NA,NA,NA
"3572","1221_2",NA,NA,NA
"3573","1222_2",NA,NA,NA
"3574","1223_2",NA,NA,NA
"3575","1225_2",NA,NA,NA
"3576","1226_2",NA,NA,NA
"3577","1228_2",NA,NA,NA
"3578","1229_2",0,27,"0"
"3579","1229_2",0,27,"0"
"3580","1229_2",0,27,"0"
"3581","1230_2",8,29,"0"
"3582","1231_2",10,40,"0"
"3583","1231_2",10,40,"0"
"3584","1232_2",NA,NA,NA
"3585","1233_2",1,19,"1"
"3586","1233_2",1,19,"1"
"3587","1233_2",1,19,"1"
"3588","1233_2",1,19,"1"
"3589","1234_2",5,36,"0"
"3590","1235_2",NA,NA,NA
"3591","1236_2",2,22,"1"
"3592","1236_2",2,22,"1"
"3593","1236_2",2,22,"1"
"3594","1236_2",2,22,"1"
"3595","1237_2",NA,NA,NA
"3596","1238_2",2,24,"0"
"3597","1238_2",2,24,"0"
"3598","1238_2",2,24,"0"
"3599","1238_2",2,24,"0"
"3600","1238_2",2,24,"0"
"3601","1238_2",2,24,"0"
"3602","1238_2",2,24,"0"
"3603","1238_2",2,24,"0"
"3604","1238_2",2,24,"0"
"3605","1238_2",2,24,"0"
"3606","1239_2",NA,NA,NA
"3607","1240_2",NA,NA,NA
"3608","1241_2",NA,NA,NA
"3609","1242_2",NA,NA,NA
"3610","1243_2",NA,NA,NA
"3611","1244_2",NA,NA,NA
"3612","1245_2",NA,NA,NA
"3613","1247_2",NA,NA,NA
"3614","1249_2",NA,NA,NA
"3615","1250_2",NA,NA,NA
"3616","1251_2",NA,NA,NA
"3617","1252_2",NA,NA,NA
"3618","1254_2",NA,NA,NA
"3619","1256_2",NA,NA,NA
"3620","1257_2",1,22,"1"
"3621","1257_2",1,22,"1"
"3622","1257_2",1,22,"1"
"3623","1257_2",1,22,"1"
"3624","1257_2",1,22,"1"
"3625","1258_2",NA,NA,NA
"3626","1259_2",NA,NA,NA
"3627","1260_2",NA,NA,NA
"3628","1261_2",NA,NA,NA
"3629","1262_2",NA,NA,NA
"3630","1263_2",NA,NA,NA
"3631","1264_2",NA,NA,NA
"3632","1265_2",NA,NA,NA
"3633","1266_2",NA,NA,NA
"3634","1267_2",NA,NA,NA
"3635","1268_2",1,20,"1"
"3636","1268_2",1,20,"1"
"3637","1268_2",1,20,"1"
"3638","1269_2",NA,NA,NA
"3639","1270_2",NA,NA,NA
"3640","1271_2",NA,NA,NA
"3641","1272_2",NA,NA,NA
"3642","1273_2",NA,NA,NA
"3643","1274_2",NA,NA,NA
"3644","1275_2",NA,NA,NA
"3645","1276_2",NA,NA,NA
"3646","1277_2",NA,NA,NA
"3647","1278_2",NA,NA,NA
"3648","1279_2",16,29,"0"
"3649","1280_2",NA,NA,NA
"3650","1282_2",NA,NA,NA
"3651","1283_2",NA,NA,NA
"3652","1284_2",NA,NA,NA
"3653","1285_2",NA,NA,NA
"3654","1286_2",NA,NA,NA
"3655","1287_2",5,24,"0"
"3656","1287_2",5,24,"0"
"3657","1288_2",NA,NA,NA
"3658","1289_2",NA,NA,NA
"3659","1293_2",7,27,"0"
"3660","1293_2",7,27,"0"
"3661","1293_2",7,27,"0"
"3662","1294_2",NA,NA,NA
"3663","1295_2",NA,NA,NA
"3664","1296_2",NA,NA,NA
"3665","1297_2",NA,NA,NA
"3666","1298_2",5,28,"0"
"3667","1298_2",5,28,"0"
"3668","1298_2",5,28,"0"
"3669","1298_2",5,28,"0"
"3670","1299_2",10,40,"0"
"3671","1299_2",10,40,"0"
"3672","1300_2",NA,NA,NA
"3673","1302_2",NA,NA,NA
"3674","1303_2",NA,NA,NA
"3675","1306_2",NA,NA,NA
"3676","1307_2",NA,NA,NA
"3677","1308_2",2,23,"0"
"3678","1308_2",2,23,"0"
"3679","1308_2",2,23,"0"
"3680","1308_2",2,23,"0"
"3681","1308_2",2,23,"0"
"3682","1309_2",NA,NA,NA
"3683","1310_2",NA,NA,NA
"3684","1311_2",NA,NA,NA
"3685","1312_2",NA,NA,NA
"3686","1313_2",NA,NA,NA
"3687","1314_2",0,26,"0"
"3688","1314_2",0,26,"0"
"3689","1314_2",0,26,"0"
"3690","1314_2",0,26,"0"
"3691","1314_2",0,26,"0"
"3692","1315_2",NA,NA,NA
"3693","1316_2",6,26,"0"
"3694","1316_2",6,26,"0"
"3695","1316_2",6,26,"0"
"3696","1316_2",6,26,"0"
"3697","1317_2",NA,NA,NA
"3698","1318_2",NA,NA,NA
"3699","1319_2",NA,NA,NA
"3700","1320_2",NA,NA,NA
"3701","1321_2",NA,NA,NA
"3702","1322_2",NA,NA,NA
"3703","1323_2",NA,NA,NA
"3704","1324_2",NA,NA,NA
"3705","1325_2",NA,NA,NA
"3706","1326_2",NA,NA,NA
"3707","1328_2",NA,NA,NA
"3708","1329_2",1,48,"0"
"3709","1330_2",NA,NA,NA
"3710","1331_2",NA,NA,NA
